year,predicted_income
2020,41288.69475138746
2021,42117.159828862175
2022,42945.624906336656
2023,43774.089983811136
2024,44602.55506128585
2025,45431.02013876033
2026,46259.48521623481
2027,47087.950293709524
2028,47916.415371184004
2029,48744.880448658485
2030,49573.3455261332
2031,50401.81060360768
2032,51230.27568108239
2033,52058.74075855687
2034,52887.20583603135
2035,53715.67091350607
2036,54544.13599098055
2037,55372.60106845503
2038,56201.06614592974
2039,57029.53122340422
2040,57857.9963008787
2041,58686.461378353415
2042,59514.926455827896
2043,60343.391533302376
2044,61171.85661077709
2045,62000.32168825157
2046,62828.78676572605
2047,63657.251843200764
2048,64485.716920675244
2049,65314.181998149725
2050,66142.64707562444
2051,66971.11215309892
2052,67799.5772305734
2053,68628.04230804811
2054,69456.5073855226
2055,70284.97246299707
2056,71113.43754047179
2057,71941.90261794627
2058,72770.36769542075
2059,73598.83277289546
2060,74427.29785036994
2061,75255.76292784442
2062,76084.22800531914
2063,76912.69308279362
2064,77741.1581602681
2065,78569.62323774281
2066,79398.08831521729
